CREATE TABLE `bluestar`.`ticket` (`Ticket_ID` VARCHAR(4) NOT NULL , `CCCD` VARCHAR(12) NOT NULL , `Name` VARCHAR(50) NOT NULL , `Fly_ID` VARCHAR(4) NOT NULL , `Kg_ID` VARCHAR(3) NOT NULL , `Seat_ID` VARCHAR(3) NOT NULL , `Food_ID` VARCHAR(3) NULL DEFAULT NULL , `Ticket_Price` INT(10) NOT NULL , `Mail` VARCHAR(50) NOT NULL , `Dis_ID` INT(3) NULL DEFAULT NULL , PRIMARY KEY (`Ticket_ID`), UNIQUE (`Fly_ID`, `Seat_ID`, `CCCD`,`Name`,`Mail`), UNIQUE (`Fly_ID`, `Seat_ID`)) ENGINE = InnoDB;
INSERT INTO `ticket` (`Ticket_ID`, `CCCD`, `Name`, `Fly_ID`, `Kg_ID`, `Seat_ID`, `Food_ID`, `Ticket_Price`, `Mail`, `Dis_ID`) VALUES 
('T039', '981479936688', 'Nguyễn Bình Thiên ', 'F21', 'K07', 'B21', 'F07', 2000000, 'dwuqmxad@gmail.com', 95),
('T040', '304467797859', 'Đặng Thu Trí ', 'F26', 'K50', 'C26', 'F07', 1500000, 'mjlhcjdm@gmail.com', 20),
('T041', '543299202539', 'Hoàng Trung Phúc ', 'F23', 'K50', 'A23', 'F08', 1700000, 'ubndwqkf@gmail.com', 38),
('T042', '640205897797', 'Phùng Văn Ngọc ', 'F18', 'K07', 'F18', 'F03', 2000000, 'ekbgmxei@gmail.com', 54),
('T043', '358400116765', 'Phan Thị Thu ', 'F13', 'K50', 'B13', 'F06', 1000000, 'wbwblydd@gmail.com', NULL),
('T044', '634143933877', 'Phan Phúc Phúc ', 'F08', 'K07', 'C08', 'F04', 800000, 'smqsjulq@gmail.com', NULL),
('T045', '640279162765', 'Phùng Huy Bảo ', 'F09', 'K20', 'C09', 'F04', 800000, 'sayaydac@gmail.com', 11),
('T046', '617968740893', 'Trần Ngọc Khang ', 'F04', 'K50', 'F05', 'F09', 1200000, 'haxujogj@gmail.com', 63),
('T047', '648221836433', 'Lê Văn Văn ', 'F30', 'K07', 'F30', 'F08', 800000, 'apuqtyiu@gmail.com', 25),
('T048', '283668925730', 'Vũ Tuấn Thu ', 'F25', 'K50', 'F25', 'F10', 800000, 'hijiuath@gmail.com', NULL),
('T049', '992622086378', 'Thạch Bình Thuỳ ', 'F01', 'K50', 'E01', 'F09', 800000, 'rzbqkllh@gmail.com', NULL),
('T050', '153579216535', 'Vũ Huy Thiên ', 'F09', 'K07', 'C10', 'F04', 1500000, 'yamdhlxj@gmail.com', NULL),
('T051', '704652106542', 'Châu Thu Tuấn ', 'F11', 'K07', 'C11', 'F04', 800000, 'uebolugn@gmail.com', 55),
('T052', '767687936647', 'Phùng Mỹ Bảo ', 'F27', 'K50', 'D27', 'F06', 800000, 'yblknsaf@gmail.com', 29),
('T053', '219457258748', 'Hoàng Nhật Minh ', 'F03', 'K50', 'D03', 'F09', 800000, 'sqzjcnpk@gmail.com', NULL),
('T054', '112166585817', 'Phan Mỹ Văn ', 'F06', 'K07', 'F07', 'F10', 800000, 'ymuiulpx@gmail.com', NULL),
('T055', '662378286114', 'Phùng Bảo Ngọc ', 'F27', 'K50', 'E28', 'F06', 1700000, 'bnngljqd@gmail.com', NULL),
('T056', '139580516433', 'Hồ Thuý Trung ', 'F22', 'K07', 'E23', 'F01', 1000000, 'pozattfx@gmail.com', NULL),
('T057', '975420444520', 'Nguyễn Minh Bảo ', 'F09', 'K07', 'A09', 'F01', 1500000, 'xpfrylqn@gmail.com', 12),
('T058', '563056002095', 'Võ Bảo Khang ', 'F19', 'K50', 'B19', 'F05', 1500000, 'xhrprjrm@gmail.com', 59),
('T059', '872041337121', 'Đặng Ngọc Minh ', 'F27', 'K50', 'D28', 'F04', 700000, 'pgdglebc@gmail.com', 14),
('T060', '014632302023', 'Vũ Thành Trọng ', 'F21', 'K07', 'F21', 'F09', 1000000, 'esbzlbje@gmail.com', NULL),
('T061', '982874498884', 'Nguyễn Bình Phúc ', 'F24', 'K07', 'D24', 'F05', 1700000, 'gxdwlovc@gmail.com', NULL),
('T062', '585086790407', 'Trần Trí Văn ', 'F15', 'K50', 'B15', 'F02', 1500000, 'ijojavah@gmail.com', 65),
('T063', '365827247706', 'Đặng Tuấn Tuấn ', 'F27', 'K50', 'A28', 'F02', 700000, 'snaswcyx@gmail.com', NULL),
('T064', '859317090172', 'Phùng Nhật Tiến ', 'F18', 'K07', 'A19', 'F06', 1000000, 'xxbfqhkm@gmail.com', 32),
('T065', '963684857479', 'Bùi Bảo Phước ', 'F16', 'K20', 'B16', 'F07', 2000000, 'omsrpfrk@gmail.com', NULL),
('T066', '502817173602', 'Võ Thiên Phước ', 'F06', 'K50', 'E06', 'F09', 2000000, 'slccgzyi@gmail.com', NULL),
('T067', '392089048341', 'Phan Minh Nhật ', 'F05', 'K07', 'F05', 'F09', 800000, 'rfoeplkk@gmail.com', NULL),
('T068', '646277472635', 'Võ Thu Đăng ', 'F03', 'K07', 'E03', 'F01', 2000000, 'vgwenxiw@gmail.com', NULL),
('T069', '976471288253', 'Lê Bình Nhật ', 'F30', 'K20', 'B01', 'F05', 800000, 'hmrtzvoj@gmail.com', NULL),
('T070', '258895057247', 'Trần Thanh Thành ', 'F01', 'K20', 'F01', 'F02', 1700000, 'omwqtdhp@gmail.com', NULL),
('T071', '784266887060', 'Nguyễn Văn Bình ', 'F30', 'K07', 'E01', 'F02', 700000, 'xpjrbbuw@gmail.com', 77),
('T072', '471486563824', 'Phan Thanh Thuỳ ', 'F27', 'K20', 'E29', 'F09', 800000, 'tmgskqbb@gmail.com', NULL),
('T073', '240393841141', 'Phùng Trọng Thu ', 'F07', 'K50', 'B07', 'F03', 1700000, 'uxqtrudf@gmail.com', NULL),
('T074', '808802512294', 'Hồ Tiến Văn ', 'F13', 'K50', 'E13', 'F05', 1700000, 'mkufvnls@gmail.com', 71),
('T075', '463740836742', 'Phạm Mỹ Văn ', 'F16', 'K50', 'B17', 'F08', 1700000, 'itfisghr@gmail.com', 2),
('T076', '393861263998', 'Phạm Thanh Thu ', 'F15', 'K07', 'D16', 'F09', 700000, 'rmrzbbbt@gmail.com', 100),
('T077', '344803619041', 'Trần Ngọc Trí ', 'F05', 'K20', 'D05', 'F01', 2000000, 'lobxgphy@gmail.com', 12),
('T078', '661242477502', 'Hồ Thanh Thiên ', 'F06', 'K20', 'E07', 'F04', 1500000, 'pjpmwejk@gmail.com', NULL),
('T079', '084316670456', 'Đặng Ngọc Khang ', 'F17', 'K50', 'B17', 'F05', 1500000, 'mkeokirj@gmail.com', 40),
('T080', '709404393041', 'Trần Trung Huy ', 'F17', 'K07', 'E17', 'F07', 2000000, 'tktqjsfh@gmail.com', 57),
('T081', '034237212637', 'Hồ Bảo Trung ', 'F22', 'K07', 'C22', 'F04', 1000000, 'nlhivocr@gmail.com', 72),
('T082', '540270301273', 'Trần Ngọc Thiên ', 'F03', 'K50', 'F03', 'F08', 700000, 'hcdakihv@gmail.com', 99),
('T083', '329581982082', 'Nguyễn Phúc Thiên ', 'F17', 'K50', 'D17', 'F07', 1700000, 'hqbwkwon@gmail.com', 83),
('T084', '267126659636', 'Vũ Thị Thanh ', 'F30', 'K07', 'B02', 'F01', 800000, 'xdmmoiji@gmail.com', 29),
('T085', '634202335404', 'Lê Mỹ Mỹ ', 'F10', 'K07', 'D10', 'F03', 1500000, 'mduojued@gmail.com', 90),
('T086', '261028218938', 'Lê Trọng Trung ', 'F04', 'K50', 'A04', 'F01', 1700000, 'tttgmltg@gmail.com', NULL),
('T087', '216855873482', 'Phùng Tuấn Thiên ', 'F01', 'K07', 'B01', 'F04', 1500000, 'sbbxyxwu@gmail.com', 50),
('T088', '312147451835', 'Châu Trung Thị ', 'F09', 'K20', 'B09', 'F03', 1000000, 'pmzxlnno@gmail.com', NULL),
('T089', '168749998736', 'Phan Tuấn Đăng ', 'F19', 'K07', 'C19', 'F04', 1700000, 'jdtnanta@gmail.com', NULL),
('T090', '951749156059', 'Trần Bình Trọng ', 'F30', 'K50', 'C30', 'F06', 1000000, 'fheolyux@gmail.com', 87),
('T091', '085580965460', 'Phùng Phước Đăng ', 'F29', 'K07', 'C29', 'F06', 1200000, 'vtvbvobe@gmail.com', NULL),
('T092', '996120680471', 'Lê Thị Trung ', 'F08', 'K50', 'F09', 'F09', 1700000, 'ygonnifl@gmail.com', 97),
('T093', '514649948679', 'Trần Thiên Minh ', 'F09', 'K50', 'A10', 'F04', 700000, 'fjggbxau@gmail.com', 54),
('T094', '356131398512', 'Bùi Trọng Bình ', 'F08', 'K07', 'C09', 'F08', 1500000, 'acjibxft@gmail.com', NULL),
('T095', '096669600368', 'Nguyễn Văn Trí ', 'F10', 'K07', 'A10', 'F07', 1500000, 'aehznllv@gmail.com', NULL),
('T096', '703081751866', 'Hoàng Trung Phước ', 'F15', 'K07', 'A16', 'F10', 1700000, 'khphxsqy@gmail.com', NULL),
('T097', '269037072826', 'Bùi Trung Bảo ', 'F12', 'K50', 'A13', 'F06', 1200000, 'jpjkrtkh@gmail.com', 18),
('T098', '538429016143', 'Đặng Thuý Thuỳ ', 'F07', 'K07', 'D07', 'F05', 1200000, 'utxuuszr@gmail.com', NULL),
('T099', '090248455943', 'Huỳnh Trí Trí ', 'F16', 'K20', 'A16', 'F05', 1200000, 'zjglssgf@gmail.com', NULL),
('T100', '832813685356', 'Hoàng Minh Đăng ', 'F17', 'K50', 'F18', 'F10', 1200000, 'uwdyybzc@gmail.com', 66),
('T101', '953782614948', 'Phạm Phước Đăng ', 'F29', 'K50', 'E29', 'F08', 1700000, 'olxszqyx@gmail.com', NULL),
('T102', '487402815506', 'Lê Tuấn Trí ', 'F08', 'K50', 'A08', 'F07', 1500000, 'iusiivaf@gmail.com', NULL),
('T103', '111681242101', 'Huỳnh Nhật Huy ', 'F03', 'K20', 'C03', 'F04', 700000, 'amfcjrut@gmail.com', NULL),
('T104', '129457295188', 'Hoàng Minh Tuấn ', 'F12', 'K07', 'F12', 'F08', 1500000, 'yzzsxvsf@gmail.com', 97),
('T105', '769977674357', 'Phùng Đăng Bảo ', 'F16', 'K20', 'D16', 'F02', 800000, 'oczoxruy@gmail.com', NULL),
('T106', '412349515392', 'Bùi Thuỳ Tuấn ', 'F21', 'K20', 'D21', 'F03', 1500000, 'olaboyet@gmail.com', 60),
('T107', '223047425051', 'Bùi Minh Bảo ', 'F05', 'K07', 'C05', 'F09', 1200000, 'zmgwrscn@gmail.com', 51),
('T108', '447754066805', 'Đặng Thiên Thành ', 'F10', 'K07', 'F13', 'F10', 1000000, 'ioxsppuo@gmail.com', 55),
('T109', '585593722725', 'Thạch Nhật Minh ', 'F10', 'K50', 'E10', 'F09', 1500000, 'gdlvclpd@gmail.com', NULL),
('T110', '039820869155', 'Hồ Mỹ Thị ', 'F27', 'K50', 'D29', 'F03', 1000000, 'xikqadzc@gmail.com', 55),
('T111', '552349529861', 'Phạm Trí Huy ', 'F09', 'K50', 'F09', 'F09', 1700000, 'xbtsntqs@gmail.com', 39),
('T112', '708010237673', 'Châu Tiến Minh ', 'F27', 'K50', 'B28', 'F05', 1500000, 'wiopceic@gmail.com', NULL),
('T113', '339850980791', 'Võ Bình Bảo ', 'F30', 'K20', 'D01', 'F06', 700000, 'wrfnszeh@gmail.com', 55),
('T114', '053491237279', 'Thạch Nhật Thị ', 'F01', 'K07', 'A01', 'F04', 1200000, 'cpvinczl@gmail.com', NULL),
('T115', '332689903944', 'Vũ Mỹ Thiên ', 'F20', 'K50', 'F21', 'F05', 700000, 'yhxmxkdz@gmail.com', NULL),
('T116', '656870453377', 'Trần Phước Thuý ', 'F23', 'K07', 'B23', 'F09', 1000000, 'krksayvd@gmail.com', NULL),
('T117', '045827579936', 'Phan Huy Thu ', 'F05', 'K07', 'A05', 'F10', 2000000, 'frolazrh@gmail.com', 84),
('T118', '099300003644', 'Võ Phước Trung ', 'F04', 'K50', 'A05', 'F06', 1500000, 'jupppxco@gmail.com', 47),
('T119', '432738375198', 'Hoàng Khang Tiến ', 'F03', 'K50', 'C04', 'F06', 700000, 'lmmajjxr@gmail.com', NULL),
('T120', '224974355789', 'Võ Khang Khang ', 'F10', 'K07', 'C10', 'F06', 1500000, 'ksydhrxi@gmail.com', 85),
('T121', '249139178433', 'Bùi Thuỳ Thuỳ ', 'F03', 'K20', 'E04', 'F09', 800000, 'oshwofec@gmail.com', NULL),
('T122', '366491914383', 'Phan Trí Văn ', 'F16', 'K07', 'F16', 'F06', 1200000, 'kdmooxhu@gmail.com', NULL),
('T123', '464738309708', 'Huỳnh Thuý Phúc ', 'F18', 'K20', 'D18', 'F09', 1200000, 'srpcpqlb@gmail.com', 54),
('T124', '399982753063', 'Trần Tuấn Huy ', 'F22', 'K50', 'E24', 'F07', 1500000, 'gaflmbwy@gmail.com', NULL),
('T125', '526949649593', 'Huỳnh Thành Huy ', 'F08', 'K20', 'A09', 'F02', 1700000, 'wqztxdwq@gmail.com', NULL),
('T126', '860919346852', 'Châu Mỹ Thị ', 'F15', 'K20', 'C15', 'F10', 2000000, 'itqpchrl@gmail.com', NULL),
('T127', '405915629413', 'Thạch Thành Mỹ ', 'F20', 'K50', 'E20', 'F10', 1700000, 'kicejjvm@gmail.com', NULL),
('T128', '575170730914', 'Bùi Văn Mỹ ', 'F07', 'K20', 'A07', 'F03', 1700000, 'fpxawfjl@gmail.com', NULL),
('T129', '828923053775', 'Phạm Đăng Thiên ', 'F07', 'K50', 'B08', 'F08', 800000, 'ntlcfeqq@gmail.com', 16),
('T130', '982224627009', 'Võ Phước Phúc ', 'F03', 'K07', 'F04', 'F05', 800000, 'wjefymlm@gmail.com', NULL),
('T131', '748897323491', 'Huỳnh Trọng Bình ', 'F26', 'K20', 'A26', 'F09', 2000000, 'koanczop@gmail.com', NULL),
('T132', '403809987715', 'Hoàng Minh Khang ', 'F15', 'K07', 'E17', 'F10', 800000, 'rtglzqtb@gmail.com', 69),
('T133', '754963901268', 'Vũ Huy Thanh ', 'F04', 'K20', 'B04', 'F04', 1700000, 'cvxynmvf@gmail.com', 30),
('T134', '018114007816', 'Nguyễn Huy Bảo ', 'F05', 'K20', 'F06', 'F08', 1200000, 'dawlzfud@gmail.com', 64),
('T135', '888307979717', 'Hồ Thuý Tiến ', 'F18', 'K50', 'C18', 'F03', 1700000, 'dsbftlan@gmail.com', NULL),
('T136', '032045309654', 'Phùng Thu Mỹ ', 'F01', 'K20', 'C03', 'F06', 800000, 'bylqoytj@gmail.com', NULL),
('T137', '367120486522', 'Nguyễn Nhật Trung ', 'F30', 'K07', 'D02', 'F05', 1700000, 'kckjxgfi@gmail.com', 96),
('T138', '433112913039', 'Thạch Ngọc Trí ', 'F29', 'K50', 'A29', 'F05', 800000, 'ohoaiual@gmail.com', 9),
('T139', '363688648429', 'Phùng Thiên Tuấn ', 'F11', 'K07', 'C12', 'F07', 1000000, 'qfrcukcl@gmail.com', 33),
('T140', '651922071250', 'Trần Thị Thanh ', 'F06', 'K20', 'B06', 'F02', 1500000, 'fuvionkt@gmail.com', NULL),
('T141', '978433861400', 'Trần Ngọc Trung ', 'F25', 'K07', 'B25', 'F07', 1000000, 'ifiscxqc@gmail.com', 6),
('T142', '342804258134', 'Đặng Tuấn Thanh ', 'F20', 'K07', 'A20', 'F05', 700000, 'jkhnsvbh@gmail.com', NULL),
('T143', '765893091778', 'Trần Nhật Văn ', 'F17', 'K07', 'F1', 'F01', 800000, 'eqxfrygi@gmail.com', NULL),
('T144', '734886854000', 'Phùng Trí Đăng ', 'F08', 'K20', 'C10', 'F01', 1500000, 'rjbvzfhx@gmail.com', NULL),
('T145', '518690977624', 'Phạm Mỹ Thị ', 'F10', 'K20', 'E11', 'F07', 700000, 'vbgehiet@gmail.com', 94),
('T146', '545684987035', 'Nguyễn Nhật Văn ', 'F01', 'K50', 'E02', 'F06', 2000000, 'xjrlbxmw@gmail.com', 45),
('T147', '218911575351', 'Đặng Phúc Trí ', 'F11', 'K07', 'B11', 'F07', 1200000, 'ltecfqex@gmail.com', NULL),
('T148', '987251047733', 'Châu Thu Thị ', 'F11', 'K50', 'F11', 'F01', 1500000, 'qrdtorer@gmail.com', 59),
('T149', '048088318422', 'Phùng Thu Văn ', 'F02', 'K50', 'A02', 'F02', 800000, 'qrsegrht@gmail.com', NULL),
('T150', '425984609602', 'Bùi Đăng Trí ', 'F13', 'K07', 'D13', 'F01', 700000, 'bazxyjuk@gmail.com', NULL),
('T151', '133657244485', 'Phạm Thuý Đăng ', 'F15', 'K20', 'D17', 'F01', 1200000, 'wbbyirum@gmail.com', NULL),
('T152', '223023432755', 'Vũ Trung Tiến ', 'F10', 'K07', 'B10', 'F09', 1700000, 'ugpvjnef@gmail.com', 7),
('T153', '005618712138', 'Phạm Tuấn Thiên ', 'F02', 'K07', 'B02', 'F03', 1200000, 'wwqnietk@gmail.com', 10),
('T154', '130019890688', 'Võ Mỹ Nhật ', 'F19', 'K20', 'D19', 'F09', 800000, 'ptjjvusc@gmail.com', 39),
('T155', '791622472379', 'Bùi Thuỳ Phước ', 'F23', 'K07', 'A24', 'F03', 1000000, 'zcoeejey@gmail.com', NULL),
('T156', '353562706453', 'Huỳnh Bình Nhật ', 'F03', 'K50', 'D04', 'F08', 1200000, 'srrdlvbn@gmail.com', NULL),
('T157', '645853051253', 'Nguyễn Trí Tuấn ', 'F18', 'K20', 'F19', 'F02', 1500000, 'gdcasbrv@gmail.com', NULL),
('T158', '080848206001', 'Phạm Phước Ngọc ', 'F30', 'K07', 'D03', 'F09', 1000000, 'ptiokkgu@gmail.com', NULL),
('T159', '404938155713', 'Hồ Mỹ Trọng ', 'F20', 'K20', 'E21', 'F10', 1500000, 'kebjoejx@gmail.com', 77),
('T160', '309100758714', 'Nguyễn Phước Khang ', 'F04', 'K07', 'B05', 'F03', 1500000, 'avfhselm@gmail.com', 59),
('T161', '344786152126', 'Châu Thu Thị ', 'F17', 'K50', 'C17', 'F05', 800000, 'mckhroca@gmail.com', NULL),
('T162', '331241244962', 'Phan Văn Huy ', 'F03', 'K07', 'A04', 'F03', 1000000, 'jqxvetoq@gmail.com', NULL),
('T163', '123119448934', 'Phùng Thị Mỹ ', 'F28', 'K50', 'F29', 'F07', 2000000, 'yisgznea@gmail.com', NULL),
('T164', '402489465669', 'Hồ Thu Trung ', 'F23', 'K20', 'C23', 'F05', 1200000, 'mbhazzvb@gmail.com', 28),
('T165', '191515911023', 'Trần Tiến Bảo ', 'F01', 'K20', 'B02', 'F02', 2000000, 'gzksylfm@gmail.com', NULL),
('T166', '026598152104', 'Bùi Phúc Thiên ', 'F06', 'K50', 'D06', 'F06', 800000, 'dcimqhmt@gmail.com', 79),
('T167', '399136718759', 'Phùng Phúc Thuý ', 'F22', 'K07', 'D22', 'F10', 700000, 'lukibjdg@gmail.com', 14),
('T168', '987209177834', 'Phùng Thiên Mỹ ', 'F30', 'K07', 'B03', 'F07', 800000, 'fqbyzqkv@gmail.com', 25),
('T169', '136373776898', 'Phùng Phước Thuý ', 'F07', 'K50', 'E07', 'F09', 800000, 'qrcklhow@gmail.com', 89),
('T170', '044792511186', 'Phan Tiến Phúc ', 'F27', 'K50', 'D30', 'F07', 1200000, 'cterrmbe@gmail.com', 10),
('T171', '975935399270', 'Nguyễn Thanh Trọng ', 'F25', 'K50', 'B26', 'F05', 2000000, 'cpxbboyx@gmail.com', NULL),
('T172', '298667108732', 'Nguyễn Khang Khang ', 'F17', 'K50', 'B18', 'F05', 1500000, 'kuufqyne@gmail.com', NULL),
('T173', '346355027980', 'Lê Mỹ Ngọc ', 'F01', 'K07', 'A03', 'F06', 1500000, 'qxpriokl@gmail.com', 8),
('T174', '529997256887', 'Trần Đăng Nhật ', 'F26', 'K50', 'A27', 'F05', 1500000, 'crwhvemx@gmail.com', 98),
('T175', '426103431455', 'Đặng Ngọc Bảo ', 'F25', 'K20', 'D25', 'F09', 1700000, 'nmquiqhw@gmail.com', NULL),
('T176', '238597687883', 'Đặng Bảo Văn ', 'F06', 'K50', 'D07', 'F09', 700000, 'titoylqe@gmail.com', 69),
('T177', '303907823240', 'Phạm Bình Thu ', 'F13', 'K50', 'E14', 'F08', 1200000, 'mffihhnp@gmail.com', 53),
('T178', '747198037199', 'Nguyễn Phúc Thành ', 'F16', 'K07', 'A17', 'F05', 700000, 'owrxwsvy@gmail.com', NULL),
('T179', '360503973923', 'Huỳnh Thành Khang ', 'F01', 'K07', 'F02', 'F08', 1500000, 'fybhxnny@gmail.com', 78),
('T180', '080443726357', 'Trần Mỹ Tiến ', 'F01', 'K50', 'B03', 'F01', 2000000, 'tzkdnjhe@gmail.com', NULL),
('T181', '343814724683', 'Phùng Khang Trọng ', 'F01', 'K50', 'A02', 'F07', 1500000, 'mzpjqxfi@gmail.com', NULL),
('T182', '577869223455', 'Phan Phước Ngọc ', 'F03', 'K20', 'A05', 'F08', 1500000, 'nbkmcpvw@gmail.com', NULL),
('T183', '815874440013', 'Phạm Thuý Bình ', 'F13', 'K07', 'D14', 'F06', 1000000, 'qhhitvcx@gmail.com', 35),
('T184', '605751635947', 'Đặng Mỹ Mỹ ', 'F09', 'K20', 'A11', 'F09', 2000000, 'ljlkbebt@gmail.com', 55),
('T185', '326464432543', 'Đặng Bình Tiến ', 'F04', 'K07', 'D04', 'F08', 1000000, 'sxrjhixe@gmail.com', 36),
('T186', '993448649180', 'Huỳnh Thiên Trọng ', 'F09', 'K50', 'B10', 'F03', 1500000, 'wlnavlbk@gmail.com', NULL),
